threads,iter_1,iter_2,time
0,0,0,0
1,1,1,3
1,1,1,3
1,1,1,3
1,1,1,3
1,1,1,3
1,1,2,3
1,1,2,4
1,1,2,4
1,1,2,5
1,1,2,4
1,1,3,5
1,1,3,5
1,1,3,5
1,1,3,7
1,1,3,6
1,1,4,7
1,1,4,6
1,1,4,6
1,1,4,6
1,1,4,6
1,1,5,7
1,1,5,8
1,1,5,7
1,1,5,7
1,1,5,7
1,2,1,5
1,2,1,5
1,2,1,5
1,2,1,6
1,2,1,6
1,2,2,8
1,2,2,12
1,2,2,8
1,2,2,8
1,2,2,8
1,2,3,10
1,2,3,11
1,2,3,11
1,2,3,10
1,2,3,10
1,2,4,12
1,2,4,13
1,2,4,13
1,2,4,12
1,2,4,14
1,2,5,15
1,2,5,16
1,2,5,15
1,2,5,15
1,2,5,17
1,5,1,20
1,5,1,15
1,5,1,15
1,5,1,21
1,5,1,17
1,5,2,23
1,5,2,23
1,5,2,26
1,5,2,23
1,5,2,22
1,5,3,26
1,5,3,30
1,5,3,28
1,5,3,30
1,5,3,31
1,5,4,35
1,5,4,35
1,5,4,35
1,5,4,41
1,5,4,32
1,5,5,46
1,5,5,39
1,5,5,42
1,5,5,53
1,5,5,42
1,10,1,31
1,10,1,33
1,10,1,33
1,10,1,31
1,10,1,31
1,10,2,42
1,10,2,51
1,10,2,44
1,10,2,46
1,10,2,46
1,10,3,57
1,10,3,59
1,10,3,61
1,10,3,61
1,10,3,57
1,10,4,73
1,10,4,69
1,10,4,70
1,10,4,66
1,10,4,71
1,10,5,79
1,10,5,80
1,10,5,88
1,10,5,88
1,10,5,79
1,15,1,48
1,15,1,51
1,15,1,50
1,15,1,46
1,15,1,49
1,15,2,64
1,15,2,68
1,15,2,70
1,15,2,79
1,15,2,65
1,15,3,86
1,15,3,86
1,15,3,82
1,15,3,86
1,15,3,88
1,15,4,99
1,15,4,105
1,15,4,111
1,15,4,110
1,15,4,112
1,15,5,121
1,15,5,125
1,15,5,118
1,15,5,126
1,15,5,118
1,20,1,68
1,20,1,68
1,20,1,71
1,20,1,65
1,20,1,69
1,20,2,90
1,20,2,96
1,20,2,93
1,20,2,95
1,20,2,90
1,20,3,112
1,20,3,111
1,20,3,113
1,20,3,112
1,20,3,112
1,20,4,135
1,20,4,137
1,20,4,134
1,20,4,152
1,20,4,2
1,20,5,160
1,20,5,158
1,20,5,168
1,20,5,156
1,20,5,161
1,25,1,95
1,25,1,81
1,25,1,80
1,25,1,83
1,25,1,79
1,25,2,113
1,25,2,124
1,25,2,117
1,25,2,111
1,25,2,116
1,25,3,140
1,25,3,142
1,25,3,141
1,25,3,141
1,25,3,143
1,25,4,202
1,25,4,170
1,25,4,171
1,25,4,174
1,25,4,176
1,25,5,202
1,25,5,195
1,25,5,200
1,25,5,219
1,25,5,201
1,40,1,128
1,40,1,136
1,40,1,131
1,40,1,138
1,40,1,131
1,40,2,173
1,40,2,179
1,40,2,178
1,40,2,183
1,40,2,184
1,40,3,239
1,40,3,225
1,40,3,229
1,40,3,231
1,40,3,225
1,40,4,279
1,40,4,272
1,40,4,280
1,40,4,289
1,40,4,291
1,40,5,327
1,40,5,314
1,40,5,319
1,40,5,323
1,40,5,329
1,50,1,158
1,50,1,173
1,50,1,164
1,50,1,165
1,50,1,159
1,50,2,227
1,50,2,228
1,50,2,243
1,50,2,230
1,50,2,243
1,50,3,280
1,50,3,279
1,50,3,285
1,50,3,214
1,50,3,290
1,50,4,348
1,50,4,337
1,50,4,346
1,50,4,338
1,50,4,342
1,50,5,412
1,50,5,408
1,50,5,406
1,50,5,420
1,50,5,414
2,1,1,3
2,1,1,4
2,1,1,4
2,1,1,4
2,1,1,4
2,1,2,6
2,1,2,6
2,1,2,6
2,1,2,6
2,1,2,6
2,1,3,7
2,1,3,9
2,1,3,8
2,1,3,9
2,1,3,8
2,1,4,9
2,1,4,10
2,1,4,9
2,1,4,9
2,1,4,10
2,1,5,11
2,1,5,11
2,1,5,11
2,1,5,11
2,1,5,11
2,2,1,5
2,2,1,7
2,2,1,8
2,2,1,7
2,2,1,7
2,2,2,11
2,2,2,12
2,2,2,10
2,2,2,11
2,2,2,9
2,2,3,15
2,2,3,14
2,2,3,16
2,2,3,14
2,2,3,15
2,2,4,19
2,2,4,16
2,2,4,18
2,2,4,18
2,2,4,19
2,2,5,22
2,2,5,22
2,2,5,19
2,2,5,24
2,2,5,22
2,5,1,20
2,5,1,18
2,5,1,16
2,5,1,17
2,5,1,17
2,5,2,26
2,1,1,5
2,1,1,13
2,1,1,4
2,1,1,4
2,1,1,4
2,1,2,6
2,1,2,5
2,1,2,5
2,1,2,6
2,1,2,6
2,1,3,8
2,1,3,8
2,1,3,8
2,1,3,7
2,1,3,9
2,1,4,10
2,1,4,10
2,1,4,10
2,1,4,9
2,1,4,10
2,1,5,11
2,1,5,12
2,1,5,11
2,1,5,13
2,1,5,11
2,2,1,7
2,2,1,7
2,2,1,9
2,2,1,8
2,2,1,7
2,2,2,11
2,2,2,13
2,2,2,12
2,2,2,11
2,2,2,10
2,2,3,16
2,2,3,15
2,2,3,15
2,2,3,15
2,2,3,14
2,2,4,16
2,2,4,18
2,2,4,16
2,2,4,20
2,2,4,19
2,2,5,22
2,2,5,24
2,2,5,22
2,2,5,22
2,2,5,22
2,5,1,17
2,5,1,16
2,5,1,17
2,5,1,17
2,5,1,16
2,5,2,27
2,5,2,30
2,5,2,27
2,5,2,27
2,5,2,25
2,5,3,36
2,5,3,36
2,5,3,33
2,5,3,39
2,5,3,37
2,5,4,42
2,5,4,50
2,5,4,43
2,5,4,45
2,5,4,46
2,5,5,55
2,5,5,53
2,5,5,56
2,5,5,56
2,5,5,55
2,10,1,32
2,10,1,34
2,10,1,32
2,10,1,34
2,10,1,46
2,10,2,63
2,10,2,48
2,10,2,51
2,10,2,53
2,10,2,53
2,10,3,70
2,10,3,65
2,10,3,74
2,10,3,69
2,10,3,71
2,10,4,84
2,10,4,85
2,10,4,89
2,10,4,90
2,10,4,92
2,10,5,107
2,10,5,105
2,10,5,102
2,10,5,112
2,10,5,107
2,15,1,55
2,15,1,48
2,15,1,49
2,15,1,48
2,15,1,50
2,15,2,71
2,15,2,81
2,15,2,74
2,15,2,71
2,15,2,71
2,15,3,113
2,15,3,111
2,15,3,105
2,15,3,103
2,15,3,109
2,15,4,134
2,15,4,139
2,15,4,128
2,15,4,123
2,15,4,137
2,15,5,152
2,15,5,151
2,15,5,151
2,15,5,156
2,15,5,155
2,20,1,63
2,20,1,69
2,20,1,65
2,20,1,66
2,20,1,70
2,20,2,99
2,20,2,95
2,20,2,113
2,20,2,114
2,20,2,99
2,20,3,134
2,20,3,159
2,20,3,132
2,20,3,140
2,20,3,134
2,20,4,176
2,20,4,181
2,20,4,177
2,20,4,231
2,20,4,161
2,20,5,224
2,20,5,212
2,20,5,207
2,20,5,202
2,20,5,220
2,25,1,88
2,25,1,91
2,25,1,82
2,25,1,94
2,25,1,93
2,25,2,128
2,25,2,101
2,25,2,122
2,25,2,126
2,25,2,134
2,25,3,166
2,25,3,168
2,25,3,171
2,25,3,188
2,25,3,174
2,25,4,209
2,25,4,220
2,25,4,206
2,25,4,210
2,25,4,217
2,25,5,262
2,25,5,257
2,25,5,252
2,25,5,250
2,25,5,263
2,40,1,146
2,40,1,130
2,40,1,142
2,40,1,140
2,40,1,136
2,40,2,202
2,40,2,203
2,40,2,229
2,40,2,205
2,40,2,195
2,40,3,274
2,40,3,274
2,40,3,276
2,40,3,275
2,40,3,300
2,40,4,341
2,40,4,397
2,40,4,361
2,40,4,356
2,40,4,367
2,40,5,398
2,40,5,419
2,40,5,437
2,40,5,397
2,40,5,434
2,50,1,179
2,50,1,174
2,50,1,190
2,50,1,173
2,50,1,171
2,50,2,245
2,50,2,257
2,50,2,259
2,50,2,257
2,50,2,249
2,50,3,334
2,50,3,355
2,50,3,326
2,50,3,341
2,50,3,347
2,50,4,489
2,50,4,430
2,50,4,429
2,50,4,412
2,50,4,433
2,50,5,528
2,50,5,537
2,50,5,516
2,50,5,559
2,50,5,511
3,1,1,5
3,1,1,4
3,1,1,4
3,1,1,6
3,1,1,5
3,1,2,8
3,1,2,8
3,1,2,9
3,1,2,7
3,1,2,8
3,1,3,11
3,1,3,9
3,1,3,13
3,1,3,13
3,1,3,13
3,1,4,16
3,1,4,16
3,1,4,16
3,1,4,18
3,1,4,14
